"","mod","A","B","sigma"
"1","HSL",4.966,3808,9.84851310986926
"2","RKL",4.567,7.526e-05,8.60026145192227
"3","BHL",67658.99864682,17050.0676589986,8.39772956084863
"4","HSL",5.799,4108,10.9044057247185
"5","BHL",34458.9937973811,6967.60854583046,10.3986291350963
"6","RKL",4.45,7.339e-05,12.2572584461365
"7","BHL",45495.9053685168,9181.0737033667,10.6533795350099
"8","RKL",4.087,7e-05,9.28476690885259
"9","BHL",47664.4423260248,10219.2564346997,10.6178892247766
"10","RKL",5.439,8.66e-05,10.3617207356193
"11","BHL",30665.4400490647,5041.39834406624,8.58440257534176
"12","RKL",6.93,0.0001191,10.71804589252
"13","BHL",36941.263391208,7827.85371259697,9.42390294485422
"14","RKL",7.761,0.0001414,9.60916767552923
"15","RKL",5.659,9.667e-05,12.1527228339511
"16","BHL",34843.2055749129,7522.64808362369,9.32099635591058
"17","RKL",2.744,2.286e-05,11.4534688790675
"18","BHL",28129.3952180028,4312.23628691983,9.54765431013758
"19","RKL",5.654,8.926e-05,9.13251529954446
"20","BHL",30721.9662058372,6033.79416282642,13.0565660680986
"21","RKL",7.717,0.0001025,11.5003320768831
"22","BHL",44843.0493273543,7121.07623318386,9.60030721474639
"23","RKL",5.306,9.47e-05,8.94069634643034
"24","BHL",33681.3742000674,6763.21993937353,10.4003161744176
"25","RKL",6.769,0.0001169,11.6373516028932
"26","BHL",19623.2339089482,935.83202511774,9.79169429084317
"27","HSL",6.416,2751,9.19795460231938
"28","BHL",51203.2770097286,14700.4608294931,10.6382978723404
"29","RKL",5.564,9.377e-05,10.4570249708565
"30","BHL",31152.6479750779,4239.8753894081,8.09510960245466
"31","RKL",2.663,3.346e-05,9.65384094134469
"32","BHL",50251.256281407,12286.432160804,10.7334697685273
"33","RKL",4.677,6.774e-05,10.0080096128179
"34","BHL",40016.006402561,11416.5666266507,12.0420762714772
"35","RKL",4.36,5.164e-05,10.3356757777475
"36","BHL",65919.5781147001,16539.2221489782,11.4138593610263
"37","RKL",3.575,4.73e-05,10.3054455995822
"38","BHL",42625.7459505541,8179.88064791134,8.88757230902699
"39","RKL",3.641,6.507e-05,9.6583426160782
"40","BHL",27723.8702522872,3751.03964513446,10.4943870040278
"41","HSL",10.11,1905,10.4874592530226
"42","BHL",32819.1663931736,3377.09222185757,9.24895666092421
"43","RKL",6.576,0.0001094,10.0240867470578
"44","BHL",35997.1202303816,6414.686825054,11.2098043469034
"45","HSL",4.858,3763,10.4268541181642
"46","BHL",34518.4673800483,5906.10976872627,7.82301159425938
