"","mod","A","B","sigma"
"1","HSL",6.787,1974,6.99625800268522
"2","RKL",8.47,0.0002297,8.23945766378752
"3","BHL",41.9639110365086,416.407889215275,10.1487545578305
"4","RKL",15.25,0.0004636,8.8631030369636
"5","HSL",6.348,2067,8.25629007696783
"6","RKL",16.78,0.0003577,5.37836547267394
"7","HSL",3.472,4080,7.63603548321213
"8","RKL",13.91,0.0003851,5.77831996656988
"9","HSL",5.852,1920,7.57662730282269
"10","RKL",7.382,0.0001816,6.084679506314
"11","HSL",5.006,2108,6.6995002359229
"12","RKL",8.368,0.0002659,5.21073684247131
"13","HSL",4.311,3689,8.82849492729174
"14","RKL",19.79,0.0005797,7.63826270667591
"15","HSL",5.562,1866,5.5333980129859
"16","RKL",13.24,0.0004218,6.72672793996312
"17","HSL",5.384,1883,10.3706321289978
"18","RKL",12.5,0.0003435,7.18885154689589
"19","HSL",2.802,4080,5.51653299962674
"20","RKL",8.084,0.0002182,5.76773783504986
"21","HSL",2.475,3560,7.26241117217658
"22","RKL",20.1,0.0004875,8.56234681563427
"23","HSL",5.963,2034,7.51221728771726
"24","RKL",28.27,0.0005436,8.21440096816907
"25","HSL",3.646,2029,7.86645969409441
"26","RKL",5.28,0.0001848,8.54669637883346
"27","HSL",5.968,1838,6.20292971528072
"28","RKL",9.815,0.0002542,7.27200611779588
"29","HSL",5.933,2465,7.9355083133619
"30","RKL",13.62,0.0003036,5.68053463163406
"31","HSL",4.832,2124,11.0837774630368
"32","RKL",47.36,0.0007942,9.39474604818017
"33","HSL",3.86,2805,5.42725354129257
"34","RKL",17.75,0.0003967,4.58976430559044
"35","HSL",3.401,4055,8.60981907085818
"36","RKL",7.909,0.0002656,5.26242907691229
"37","HSL",3.945,2624,9.671885519598
"38","RKL",7.311,0.0002338,5.48408497107082
"39","HSL",7.135,1831,5.30073393742397
"40","RKL",14.25,0.0002758,8.45758583911728
"41","HSL",3.895,3175,7.25858381424427
"42","RKL",5.545,0.00013,6.77130174198903
"43","HSL",2.46,2988,6.48476249830151
"44","RKL",5.39,0.0002001,7.80155578535087
"45","HSL",4.679,2580,7.36409769924857
"46","RKL",16.69,0.0004299,7.52496787786193
"47","HSL",4.376,3042,6.48067589197297
"48","RKL",24.89,0.0005443,6.59954596685568
"49","HSL",3.448,3548,6.14875461901346
"50","RKL",17.53,0.0003955,6.16041103633697
"51","HSL",5.57,1898,6.17213399848368
"52","RKL",6.108,0.001395,12.7205462828696
"53","HSL",4.663,2730,5.3628747565368
"54","RKL",10.21,0.0002831,8.16496580927726
"55","HSL",5.302,2125,4.56387926654417
"56","RKL",12.2,0.0003566,7.27392967453308
"57","HSL",4.498,3114,7.36010739947077
"58","RKL",19.53,0.0004645,7.56577719371475
"59","HSL",3.792,2944,7.96313637334209
"60","RKL",15.58,0.0003533,8.27605888602368
"61","HSL",4.805,2586,5.33988761790778
"62","RKL",8.226,0.0002836,5.97827852755008
"63","HSL",6.586,1817,7.55928946018454
"64","RKL",15.24,0.0004264,6.90723704994422
"65","HSL",4.474,2711,7.76852818589307
"66","RKL",17.48,0.000388,5.66774679022661
"67","HSL",5.703,1889,4.85700210524373
"68","RKL",9.313,0.0002389,6.97580106415156
"69","HSL",3.427,1842,10.0989495114128
"70","RKL",16.99,0.0003849,12.9164043048688
"71","HSL",5.712,2024,8.50332757799973
"72","RKL",9.276,0.0002928,5.9932912685673
"73","HSL",6.879,1971,5.42725354129257
"74","RKL",8.779,0.0002783,6.86640895228701
"75","HSL",5.737,2444,6.63431115542844
"76","RKL",7.874,0.0002493,5.59804774136236
"77","HSL",2.646,2943,10.3478425574487
"78","RKL",24.8,0.0005398,12.8015895440428
"79","HSL",3.574,2999,7.2471379456556
"80","RKL",17.66,0.0004478,7.96566234846458
"81","HSL",4.073,2804,6.02038340226412
"82","RKL",19.86,0.0006424,8.6386842558136
"83","HSL",5.793,1963,6.91714463866075
"84","RKL",5.969,0.000252,7.97832838023348
"85","HSL",2.542,3498,6.87939508011018
"86","RKL",23.18,0.0004453,8.61620854785696
"87","HSL",5.261,2067,9.29278138329161
